Index Joint1 Joint2 Joint3 Joint4 Joint5 Joint6
26 -0.021754417053254385 -1.5433295243898604 0.5082221344662123 -1.4074488925861368 -1.6455510177130792 -1.4093919320582946
27 -0.02272522700125848 -1.542320491933335 0.5256053792021308 -1.4023476447029481 -1.6461186539882553 -1.400577008943871
28 -0.02370900945755342 -1.541318623362614 0.5426638676940176 -1.3973694705395836 -1.6464519437838 -1.3915880379779029
29 -0.024706016859571356 -1.5403244759363168 0.5593780185452477 -1.3925182598475834 -1.6465467802947307 -1.382431651814063
30 -0.025716471596524057 -1.5393386137515284 0.5757287185389807 -1.3877977256167748 -1.6463998271247369 -1.3731153297045757
31 -0.02674056289590524 -1.5383616021728983 0.5916975419796436 -1.3832113537080961 -1.646008596302609 -1.363647380293059
32 -0.027778444275535528 -1.5373940015116736 0.6072669803961936 -1.3787623512156137 -1.6453715176571568 -1.3540369060578323
33 -0.02883023170079503 -1.536436360085269 0.6224206761999739 -1.3744535951718988 -1.6444879963197594 -1.3442937484658368
34 -0.029896002563447065 -1.5354892068399717 0.6371436528018826 -1.3702875834229915 -1.6433584552845524 -1.3344284137620501
35 -0.030975795563859647 -1.534553043765908 0.6514225329708397 -1.3662663896132599 -1.6419843603519628 -1.3244519803109167
36 -0.032069611534344615 -1.5336283383691371 0.6652457369820718 -1.362391624210432 -1.6403682254101062 -1.314375989450444
37 -0.03317741519104607 -1.532715516485793 0.6786036524447432 -1.3586644033515747 -1.6385135968409839 -1.304212322824079
38 -0.034299137749733415 -1.5318149557239853 0.6914887686416781 -1.3550853270011485 -1.6364250168173298 -1.2939730700215204
39 -0.03543468029197767 -1.5309269797990375 0.703895769718207 -1.351654467498557 -1.634107966301594 -1.283670390995709
40 -0.03658391772736637 -1.53005185398739 0.715821583012154 -1.3483713690668548 -1.6315687895781403 -1.2733163780592478
41 -0.03774670316862621 -1.5291897818673446 0.7272653810547489 -1.345235058300746 -1.628814603050091 -1.262922922262277
42 -0.038922872522284074 -1.5283409034460758 0.73822853808982 -1.342244065101234 -1.6258531917331787 -1.2525015886173134
43 -0.04011224909850197 -1.527505294698539 0.7487145441468043 -1.3393964530258482 -1.6226928973243275 -1.242063504005359
44 -0.04131464805883345 -1.5266829684719831 0.7587288815757992 -1.3366898576189588 -1.6193425018874692 -1.2316192607438186
45 -0.042529880547201734 -1.525873876645941 0.7682788703711814 -1.3341215310048695 -1.6158111110906745 -1.221178837812129
46 -0.043757757383723124 -1.525077913386619 0.7773734894969598 -1.331688390879852 -1.612108040582919 -1.2107515407125244
47 -0.044998092239046175 -1.5242949192993862 0.7860231817694452 -1.329387072025038 -1.6082427085720095 -1.2003459599800692
48 -0.04625070424481965 -1.5235246862644163 0.7942396496957885 -1.3272139785639285 -1.604224537024139 -1.1899699475186574
49 -0.047515420030582727 -1.5227669627374625 0.8020356490978355 -1.325165335380942 -1.6000628632174332 -1.179630609274672
50 -0.048792075206570196 -1.52202145930793 0.8094247864812463 -1.3232372373712744 -1.59576686270636 -1.1693343122887796
51 -0.05008051533442714 -1.5212878543266786 0.8164213250581076 -1.3214256954776988 -1.5913454841376737 -1.1590867038876442
52 -0.05138059644333071 -1.5205657994429345 0.8230400032072231 -1.3197266787604143 -1.5868073958330822 -1.1488927406726326
53 -0.05269218515794046 -1.5193578679951742 0.8435807432794759 -1.3163182288178978 -1.5821280958929922 -1.1387567250020623
54 -0.054023143523154155 -1.5183020284789912 0.8596371511783801 -1.3136631002079675 -1.5771194649633458 -1.1286619174429904
55 -0.0553704072950855 -1.5173672462718957 0.8721417670457735 -1.311591398667727 -1.571861924944139 -1.1186380454657652
56 -0.05673208914669965 -1.5165283069844488 0.8818461414720031 -1.3099728470915526 -1.5664183469867963 -1.1086994854408163
57 -0.05810705164597412 -1.515764972885109 0.8893493933941133 -1.3087077586599074 -1.5608372702533604 -1.0988516414335785
58 -0.05949461461169999 -1.5150611250253263 0.8951260192815838 -1.3077198286026206 -1.5551559728824955 -1.0890950025960728
59 -0.06089436623587474 -1.5144039873232762 0.8995503609921206 -1.3069505574912745 -1.5494030431126338 -1.0794275869608934
60 -0.06230604597127727 -1.5137834645373829 0.9029170730788992 -1.3063550042569942 -1.5436004087446078 -1.0698463475475375
61 -0.06372947416625642 -1.513191595399102 0.9054577794318599 -1.3058985727547667 -1.5377648960828454 -1.0603479428955693
62 -0.06516451104730868 -1.5126221093642591 0.9073544192503187 -1.305554582953426 -1.531909414446689 -1.0509291320691188
63 -0.0666110336516878 -1.512070071453412 0.9087498447779655 -1.305302431611226 -1.5260438542583983 -1.041586954950062
64 -0.06806892349864084 -1.5115315996887195 0.9097561930925917 -1.3051261945658374 -1.5201757696700224 -1.032318794331128
65 -0.06953806053882068 -1.5110036412882168 0.9104614797339888 -1.3050135603366546 -1.514310899875922 -1.0231223763388824
66 -0.07101832067014319 -1.5104837959011046 0.9109347830540397 -1.304955013214973 -1.5084535694331567 -1.0139957414965823
67 -0.07250957519753297 -1.5099701762512066 0.9112303166889266 -1.3049432051214094 -1.5026069973617033 -1.0049372043417717
68 -0.07401169128280857 -1.5094612984025852 0.9113906270403466 -1.3049724710058523 -1.4967735370111543 -0.9959453111033387
69 -0.07552453283682263 -1.5089559954184701 0.9114491031623021 -1.305038453926846 -1.4909548630129583 -0.9870188001221836
70 -0.07704796154936547 -1.508453349462079 0.9114319467248735 -1.3051378143031798 -1.4851521175214408 -0.9781565670048543
71 -0.07858183789625992 -1.5079526384191935 0.9113597181712576 -1.3052680040100386 -1.4793660249459017 -0.9693576350476436
72 -0.08012602204660176 -1.5074532939468637 0.9112485502659888 -1.3054270905930558 -1.4735969821712105 -0.9606211307323261
73 -0.0816803746402949 -1.5069548685078575 0.911111100619165 -1.305613620323527 -1.467845129629025 -0.9519462637617332
74 -0.083244757431617 -1.5064570094691616 0.9109572993615469 -1.305826511422529 -1.4621104073567803 -0.9433323109906958
75 -0.08481903380748268 -1.505959438752443 0.9107949360489191 -1.3060649707602874 -1.4563925992551148 -0.9347786036096675
76 -0.08640306919475306 -1.5054619368472877 0.910630120382674 -1.3063284288485892 -1.450691368047482 -0.9262845169944052
77 -0.08799673137260369 -1.504964330252316 0.9104676438873461 -1.306616489104197 -1.4450062829021402 -0.917849462712178
78 -0.08959989070551659 -1.504466481609377 0.9103860003570382 -1.3063309961524479 -1.439386738410601 -0.909414845069551
79 -0.09121180076824353 -1.5039701828645182 0.910255817975761 -1.3061010080569593 -1.4337735241997482 -0.9010438227041843
80 -0.09283238877328118 -1.5034748599520986 0.9100934231991257 -1.305924205463586 -1.4281673486378674 -0.8927355068368901
